SourceServer,Publication,Article,SourceSchema,Subscriber,DestinationDatabase,DestinationSchema
ctsazsimicrsmas.inso1a101c37461fa.database.windows.net,EDS_BC_Common_Trans_PUB,CentralRepository_Action_MIG,dbo,CTSAZSIMIPGN.INSO1A101C37461FA.DATABASE.WINDOWS.NET,CentralRepository,dbo
ctsazsimicrsmas.inso1a101c37461fa.database.windows.net,EDS_BC_Common_Trans_PUB,CentralRepository_Action_MIG,dbo,CTSAZSIMIPST.INSO1A101C37461FA.DATABASE.WINDOWS.NET,CentralRepository,dbo
ctsazsimicrsmas.inso1a101c37461fa.database.windows.net,EDS_BC_Common_Trans_PUB,CentralRepository_Action_MIG,dbo,CTSAZSIMIPTM.INSO1A101C37461FA.DATABASE.WINDOWS.NET,CentralRepository,dbo
ctsazsimicrsmas.inso1a101c37461fa.database.windows.net,EDS_BC_Common_Trans_PUB,CentralRepository_Action_MIG,dbo,CTSAZSIMIBCAPPS1.INSO1A101C37461FA.DATABASE.WINDOWS.NET,CentralRepository,dbo
ctsazsimicrsmas.inso1a101c37461fa.database.windows.net,EDS_BC_Common_Trans_PUB,CentralRepository_Action_MIG,dbo,CTSAZSIMIBCAPPS2.INSO1A101C37461FA.DATABASE.WINDOWS.NET,CentralRepository,dbo
ctsazsimicrsmas.inso1a101c37461fa.database.windows.net,EDS_BC_Common_Trans_PUB,CentralRepository_Action_MIG,dbo,CTSAZMIBCAPPS3.293366D454BB.DATABASE.WINDOWS.NET,CentralRepository,dbo
ctsazsimicrsmas.inso1a101c37461fa.database.windows.net,EDS_BC_Common_Trans_PUB,CentralRepository_Action_Reason_MIG,dbo,CTSAZSIMIPGN.INSO1A101C37461FA.DATABASE.WINDOWS.NET,CentralRepository,dbo
ctsazsimicrsmas.inso1a101c37461fa.database.windows.net,EDS_BC_Common_Trans_PUB,CentralRepository_Action_Reason_MIG,dbo,CTSAZSIMIPST.INSO1A101C37461FA.DATABASE.WINDOWS.NET,CentralRepository,dbo
ctsazsimicrsmas.inso1a101c37461fa.database.windows.net,EDS_BC_Common_Trans_PUB,CentralRepository_Action_Reason_MIG,dbo,CTSAZSIMIPTM.INSO1A101C37461FA.DATABASE.WINDOWS.NET,CentralRepository,dbo
ctsazsimicrsmas.inso1a101c37461fa.database.windows.net,EDS_BC_Common_Trans_PUB,CentralRepository_Action_Reason_MIG,dbo,CTSAZSIMIBCAPPS1.INSO1A101C37461FA.DATABASE.WINDOWS.NET,CentralRepository,dbo
ctsazsimicrsmas.inso1a101c37461fa.database.windows.net,EDS_BC_Common_Trans_PUB,CentralRepository_Action_Reason_MIG,dbo,CTSAZSIMIBCAPPS2.INSO1A101C37461FA.DATABASE.WINDOWS.NET,CentralRepository,dbo
ctsazsimicrsmas.inso1a101c37461fa.database.windows.net,EDS_BC_Common_Trans_PUB,CentralRepository_Action_Reason_MIG,dbo,CTSAZMIBCAPPS3.293366D454BB.DATABASE.WINDOWS.NET,CentralRepository,dbo
ctsazsimicrsmas.inso1a101c37461fa.database.windows.net,EDS_BC_Common_Trans_PUB,CentralRepository_AssociateNationality_MIG,dbo,CTSAZSIMIPGN.INSO1A101C37461FA.DATABASE.WINDOWS.NET,CentralRepository,dbo
ctsazsimicrsmas.inso1a101c37461fa.database.windows.net,EDS_BC_Common_Trans_PUB,CentralRepository_AssociateNationality_MIG,dbo,CTSAZSIMIPST.INSO1A101C37461FA.DATABASE.WINDOWS.NET,CentralRepository,dbo
ctsazsimicrsmas.inso1a101c37461fa.database.windows.net,EDS_BC_Common_Trans_PUB,CentralRepository_AssociateNationality_MIG,dbo,CTSAZSIMIPTM.INSO1A101C37461FA.DATABASE.WINDOWS.NET,CentralRepository,dbo
ctsazsimicrsmas.inso1a101c37461fa.database.windows.net,EDS_BC_Common_Trans_PUB,CentralRepository_AssociateNationality_MIG,dbo,CTSAZSIMIBCAPPS1.INSO1A101C37461FA.DATABASE.WINDOWS.NET,CentralRepository,dbo
ctsazsimicrsmas.inso1a101c37461fa.database.windows.net,EDS_BC_Common_Trans_PUB,CentralRepository_AssociateNationality_MIG,dbo,CTSAZSIMIBCAPPS2.INSO1A101C37461FA.DATABASE.WINDOWS.NET,CentralRepository,dbo
ctsazsimicrsmas.inso1a101c37461fa.database.windows.net,EDS_BC_Common_Trans_PUB,CentralRepository_AssociateNationality_MIG,dbo,CTSAZMIBCAPPS3.293366D454BB.DATABASE.WINDOWS.NET,CentralRepository,dbo
ctsazsimicrsmas.inso1a101c37461fa.database.windows.net,EDS_BC_Common_Trans_PUB,CentralRepository_Cdeploy_Associateproposaldetails_MIG,dbo,CTSAZSIMIPGN.INSO1A101C37461FA.DATABASE.WINDOWS.NET,CentralRepository,dbo
ctsazsimicrsmas.inso1a101c37461fa.database.windows.net,EDS_BC_Common_Trans_PUB,CentralRepository_Cdeploy_Associateproposaldetails_MIG,dbo,CTSAZSIMIPST.INSO1A101C37461FA.DATABASE.WINDOWS.NET,CentralRepository,dbo
ctsazsimicrsmas.inso1a101c37461fa.database.windows.net,EDS_BC_Common_Trans_PUB,CentralRepository_Cdeploy_Associateproposaldetails_MIG,dbo,CTSAZSIMIPTM.INSO1A101C37461FA.DATABASE.WINDOWS.NET,CentralRepository,dbo
ctsazsimicrsmas.inso1a101c37461fa.database.windows.net,EDS_BC_Common_Trans_PUB,CentralRepository_Cdeploy_Associateproposaldetails_MIG,dbo,CTSAZSIMIBCAPPS1.INSO1A101C37461FA.DATABASE.WINDOWS.NET,CentralRepository,dbo
ctsazsimicrsmas.inso1a101c37461fa.database.windows.net,EDS_BC_Common_Trans_PUB,CentralRepository_Cdeploy_Associateproposaldetails_MIG,dbo,CTSAZSIMIBCAPPS2.INSO1A101C37461FA.DATABASE.WINDOWS.NET,CentralRepository,dbo
ctsazsimicrsmas.inso1a101c37461fa.database.windows.net,EDS_BC_Common_Trans_PUB,CentralRepository_Cdeploy_Associateproposaldetails_MIG,dbo,CTSAZMIBCAPPS3.293366D454BB.DATABASE.WINDOWS.NET,CentralRepository,dbo
ctsazsimicrsmas.inso1a101c37461fa.database.windows.net,EDS_BC_Common_Trans_PUB,CentralRepository_Company_Master_MIG,dbo,CTSAZSIMIPGN.INSO1A101C37461FA.DATABASE.WINDOWS.NET,CentralRepository,dbo
ctsazsimicrsmas.inso1a101c37461fa.database.windows.net,EDS_BC_Common_Trans_PUB,CentralRepository_Company_Master_MIG,dbo,CTSAZSIMIPST.INSO1A101C37461FA.DATABASE.WINDOWS.NET,CentralRepository,dbo
ctsazsimicrsmas.inso1a101c37461fa.database.windows.net,EDS_BC_Common_Trans_PUB,CentralRepository_Company_Master_MIG,dbo,CTSAZSIMIPTM.INSO1A101C37461FA.DATABASE.WINDOWS.NET,CentralRepository,dbo
ctsazsimicrsmas.inso1a101c37461fa.database.windows.net,EDS_BC_Common_Trans_PUB,CentralRepository_Company_Master_MIG,dbo,CTSAZSIMIBCAPPS1.INSO1A101C37461FA.DATABASE.WINDOWS.NET,CentralRepository,dbo
ctsazsimicrsmas.inso1a101c37461fa.database.windows.net,EDS_BC_Common_Trans_PUB,CentralRepository_Company_Master_MIG,dbo,CTSAZSIMIBCAPPS2.INSO1A101C37461FA.DATABASE.WINDOWS.NET,CentralRepository,dbo
ctsazsimicrsmas.inso1a101c37461fa.database.windows.net,EDS_BC_Common_Trans_PUB,CentralRepository_Company_Master_MIG,dbo,CTSAZMIBCAPPS3.293366D454BB.DATABASE.WINDOWS.NET,CentralRepository,dbo
ctsazsimicrsmas.inso1a101c37461fa.database.windows.net,EDS_BC_Common_Trans_PUB,CentralRepository_DependentName_MIG,dbo,CTSAZSIMIPGN.INSO1A101C37461FA.DATABASE.WINDOWS.NET,CentralRepository,dbo
ctsazsimicrsmas.inso1a101c37461fa.database.windows.net,EDS_BC_Common_Trans_PUB,CentralRepository_DependentName_MIG,dbo,CTSAZSIMIPST.INSO1A101C37461FA.DATABASE.WINDOWS.NET,CentralRepository,dbo
ctsazsimicrsmas.inso1a101c37461fa.database.windows.net,EDS_BC_Common_Trans_PUB,CentralRepository_DependentName_MIG,dbo,CTSAZSIMIPTM.INSO1A101C37461FA.DATABASE.WINDOWS.NET,CentralRepository,dbo
ctsazsimicrsmas.inso1a101c37461fa.database.windows.net,EDS_BC_Common_Trans_PUB,CentralRepository_DependentName_MIG,dbo,CTSAZSIMIBCAPPS1.INSO1A101C37461FA.DATABASE.WINDOWS.NET,CentralRepository,dbo
ctsazsimicrsmas.inso1a101c37461fa.database.windows.net,EDS_BC_Common_Trans_PUB,CentralRepository_DependentName_MIG,dbo,CTSAZSIMIBCAPPS2.INSO1A101C37461FA.DATABASE.WINDOWS.NET,CentralRepository,dbo
ctsazsimicrsmas.inso1a101c37461fa.database.windows.net,EDS_BC_Common_Trans_PUB,CentralRepository_DependentName_MIG,dbo,CTSAZMIBCAPPS3.293366D454BB.DATABASE.WINDOWS.NET,CentralRepository,dbo
ctsazsimicrsmas.inso1a101c37461fa.database.windows.net,EDS_BC_Common_Trans_PUB,CentralRepository_DependentPhonenumber_MIG,dbo,CTSAZSIMIPGN.INSO1A101C37461FA.DATABASE.WINDOWS.NET,CentralRepository,dbo
ctsazsimicrsmas.inso1a101c37461fa.database.windows.net,EDS_BC_Common_Trans_PUB,CentralRepository_DependentPhonenumber_MIG,dbo,CTSAZSIMIPST.INSO1A101C37461FA.DATABASE.WINDOWS.NET,CentralRepository,dbo
ctsazsimicrsmas.inso1a101c37461fa.database.windows.net,EDS_BC_Common_Trans_PUB,CentralRepository_DependentPhonenumber_MIG,dbo,CTSAZSIMIPTM.INSO1A101C37461FA.DATABASE.WINDOWS.NET,CentralRepository,dbo
ctsazsimicrsmas.inso1a101c37461fa.database.windows.net,EDS_BC_Common_Trans_PUB,CentralRepository_DependentPhonenumber_MIG,dbo,CTSAZSIMIBCAPPS1.INSO1A101C37461FA.DATABASE.WINDOWS.NET,CentralRepository,dbo
ctsazsimicrsmas.inso1a101c37461fa.database.windows.net,EDS_BC_Common_Trans_PUB,CentralRepository_DependentPhonenumber_MIG,dbo,CTSAZSIMIBCAPPS2.INSO1A101C37461FA.DATABASE.WINDOWS.NET,CentralRepository,dbo
ctsazsimicrsmas.inso1a101c37461fa.database.windows.net,EDS_BC_Common_Trans_PUB,CentralRepository_DependentPhonenumber_MIG,dbo,CTSAZMIBCAPPS3.293366D454BB.DATABASE.WINDOWS.NET,CentralRepository,dbo
ctsazsimicrsmas.inso1a101c37461fa.database.windows.net,EDS_BC_Common_Trans_PUB,CentralRepository_DependentRelationship_MIG,dbo,CTSAZSIMIPGN.INSO1A101C37461FA.DATABASE.WINDOWS.NET,CentralRepository,dbo
ctsazsimicrsmas.inso1a101c37461fa.database.windows.net,EDS_BC_Common_Trans_PUB,CentralRepository_DependentRelationship_MIG,dbo,CTSAZSIMIPST.INSO1A101C37461FA.DATABASE.WINDOWS.NET,CentralRepository,dbo
ctsazsimicrsmas.inso1a101c37461fa.database.windows.net,EDS_BC_Common_Trans_PUB,CentralRepository_DependentRelationship_MIG,dbo,CTSAZSIMIPTM.INSO1A101C37461FA.DATABASE.WINDOWS.NET,CentralRepository,dbo
ctsazsimicrsmas.inso1a101c37461fa.database.windows.net,EDS_BC_Common_Trans_PUB,CentralRepository_DependentRelationship_MIG,dbo,CTSAZSIMIBCAPPS1.INSO1A101C37461FA.DATABASE.WINDOWS.NET,CentralRepository,dbo
ctsazsimicrsmas.inso1a101c37461fa.database.windows.net,EDS_BC_Common_Trans_PUB,CentralRepository_DependentRelationship_MIG,dbo,CTSAZSIMIBCAPPS2.INSO1A101C37461FA.DATABASE.WINDOWS.NET,CentralRepository,dbo
ctsazsimicrsmas.inso1a101c37461fa.database.windows.net,EDS_BC_Common_Trans_PUB,CentralRepository_DependentRelationship_MIG,dbo,CTSAZMIBCAPPS3.293366D454BB.DATABASE.WINDOWS.NET,CentralRepository,dbo
ctsazsimicrsmas.inso1a101c37461fa.database.windows.net,EDS_BC_Common_Trans_PUB,CentralRepository_HCM_CCA_Roles_MIG,dbo,CTSAZSIMIPGN.INSO1A101C37461FA.DATABASE.WINDOWS.NET,CentralRepository,dbo
ctsazsimicrsmas.inso1a101c37461fa.database.windows.net,EDS_BC_Common_Trans_PUB,CentralRepository_HCM_CCA_Roles_MIG,dbo,CTSAZSIMIPST.INSO1A101C37461FA.DATABASE.WINDOWS.NET,CentralRepository,dbo
ctsazsimicrsmas.inso1a101c37461fa.database.windows.net,EDS_BC_Common_Trans_PUB,CentralRepository_HCM_CCA_Roles_MIG,dbo,CTSAZSIMIPTM.INSO1A101C37461FA.DATABASE.WINDOWS.NET,CentralRepository,dbo
ctsazsimicrsmas.inso1a101c37461fa.database.windows.net,EDS_BC_Common_Trans_PUB,CentralRepository_HCM_CCA_Roles_MIG,dbo,CTSAZSIMIBCAPPS1.INSO1A101C37461FA.DATABASE.WINDOWS.NET,CentralRepository,dbo
ctsazsimicrsmas.inso1a101c37461fa.database.windows.net,EDS_BC_Common_Trans_PUB,CentralRepository_HCM_CCA_Roles_MIG,dbo,CTSAZSIMIBCAPPS2.INSO1A101C37461FA.DATABASE.WINDOWS.NET,CentralRepository,dbo
ctsazsimicrsmas.inso1a101c37461fa.database.windows.net,EDS_BC_Common_Trans_PUB,CentralRepository_HCM_CCA_Roles_MIG,dbo,CTSAZMIBCAPPS3.293366D454BB.DATABASE.WINDOWS.NET,CentralRepository,dbo
ctsazsimicrsmas.inso1a101c37461fa.database.windows.net,EDS_BC_Common_Trans_PUB,Centralrepository_HCM_LeafLevelProficiency_MIG,dbo,CTSAZSIMIPGN.INSO1A101C37461FA.DATABASE.WINDOWS.NET,CentralRepository,dbo
ctsazsimicrsmas.inso1a101c37461fa.database.windows.net,EDS_BC_Common_Trans_PUB,Centralrepository_HCM_LeafLevelProficiency_MIG,dbo,CTSAZSIMIPST.INSO1A101C37461FA.DATABASE.WINDOWS.NET,CentralRepository,dbo
ctsazsimicrsmas.inso1a101c37461fa.database.windows.net,EDS_BC_Common_Trans_PUB,Centralrepository_HCM_LeafLevelProficiency_MIG,dbo,CTSAZSIMIPTM.INSO1A101C37461FA.DATABASE.WINDOWS.NET,CentralRepository,dbo
ctsazsimicrsmas.inso1a101c37461fa.database.windows.net,EDS_BC_Common_Trans_PUB,Centralrepository_HCM_LeafLevelProficiency_MIG,dbo,CTSAZSIMIBCAPPS1.INSO1A101C37461FA.DATABASE.WINDOWS.NET,CentralRepository,dbo
ctsazsimicrsmas.inso1a101c37461fa.database.windows.net,EDS_BC_Common_Trans_PUB,Centralrepository_HCM_LeafLevelProficiency_MIG,dbo,CTSAZSIMIBCAPPS2.INSO1A101C37461FA.DATABASE.WINDOWS.NET,CentralRepository,dbo
ctsazsimicrsmas.inso1a101c37461fa.database.windows.net,EDS_BC_Common_Trans_PUB,Centralrepository_HCM_LeafLevelProficiency_MIG,dbo,CTSAZMIBCAPPS3.293366D454BB.DATABASE.WINDOWS.NET,CentralRepository,dbo
ctsazsimicrsmas.inso1a101c37461fa.database.windows.net,EDS_BC_Common_Trans_PUB,CentralRepository_Jobtask_MIG,dbo,CTSAZSIMIPGN.INSO1A101C37461FA.DATABASE.WINDOWS.NET,CentralRepository,dbo
ctsazsimicrsmas.inso1a101c37461fa.database.windows.net,EDS_BC_Common_Trans_PUB,CentralRepository_Jobtask_MIG,dbo,CTSAZSIMIPST.INSO1A101C37461FA.DATABASE.WINDOWS.NET,CentralRepository,dbo
ctsazsimicrsmas.inso1a101c37461fa.database.windows.net,EDS_BC_Common_Trans_PUB,CentralRepository_Jobtask_MIG,dbo,CTSAZSIMIPTM.INSO1A101C37461FA.DATABASE.WINDOWS.NET,CentralRepository,dbo
ctsazsimicrsmas.inso1a101c37461fa.database.windows.net,EDS_BC_Common_Trans_PUB,CentralRepository_Jobtask_MIG,dbo,CTSAZSIMIBCAPPS1.INSO1A101C37461FA.DATABASE.WINDOWS.NET,CentralRepository,dbo
ctsazsimicrsmas.inso1a101c37461fa.database.windows.net,EDS_BC_Common_Trans_PUB,CentralRepository_Jobtask_MIG,dbo,CTSAZSIMIBCAPPS2.INSO1A101C37461FA.DATABASE.WINDOWS.NET,CentralRepository,dbo
ctsazsimicrsmas.inso1a101c37461fa.database.windows.net,EDS_BC_Common_Trans_PUB,CentralRepository_Jobtask_MIG,dbo,CTSAZMIBCAPPS3.293366D454BB.DATABASE.WINDOWS.NET,CentralRepository,dbo
ctsazsimicrsmas.inso1a101c37461fa.database.windows.net,EDS_BC_Common_Trans_PUB,CentralRepository_JPMProfileItems_MIG,dbo,CTSAZSIMIPGN.INSO1A101C37461FA.DATABASE.WINDOWS.NET,CentralRepository,dbo
ctsazsimicrsmas.inso1a101c37461fa.database.windows.net,EDS_BC_Common_Trans_PUB,CentralRepository_JPMProfileItems_MIG,dbo,CTSAZSIMIPST.INSO1A101C37461FA.DATABASE.WINDOWS.NET,CentralRepository,dbo
ctsazsimicrsmas.inso1a101c37461fa.database.windows.net,EDS_BC_Common_Trans_PUB,CentralRepository_JPMProfileItems_MIG,dbo,CTSAZSIMIPTM.INSO1A101C37461FA.DATABASE.WINDOWS.NET,CentralRepository,dbo
ctsazsimicrsmas.inso1a101c37461fa.database.windows.net,EDS_BC_Common_Trans_PUB,CentralRepository_JPMProfileItems_MIG,dbo,CTSAZSIMIBCAPPS1.INSO1A101C37461FA.DATABASE.WINDOWS.NET,CentralRepository,dbo
ctsazsimicrsmas.inso1a101c37461fa.database.windows.net,EDS_BC_Common_Trans_PUB,CentralRepository_JPMProfileItems_MIG,dbo,CTSAZSIMIBCAPPS2.INSO1A101C37461FA.DATABASE.WINDOWS.NET,CentralRepository,dbo
ctsazsimicrsmas.inso1a101c37461fa.database.windows.net,EDS_BC_Common_Trans_PUB,CentralRepository_JPMProfileItems_MIG,dbo,CTSAZMIBCAPPS3.293366D454BB.DATABASE.WINDOWS.NET,CentralRepository,dbo
ctsazsimicrsmas.inso1a101c37461fa.database.windows.net,EDS_BC_Common_Trans_PUB,CentralRepository_MyTravel_Details_MIG,dbo,CTSAZSIMIPGN.INSO1A101C37461FA.DATABASE.WINDOWS.NET,CentralRepository,dbo
ctsazsimicrsmas.inso1a101c37461fa.database.windows.net,EDS_BC_Common_Trans_PUB,CentralRepository_MyTravel_Details_MIG,dbo,CTSAZSIMIPST.INSO1A101C37461FA.DATABASE.WINDOWS.NET,CentralRepository,dbo
ctsazsimicrsmas.inso1a101c37461fa.database.windows.net,EDS_BC_Common_Trans_PUB,CentralRepository_MyTravel_Details_MIG,dbo,CTSAZSIMIPTM.INSO1A101C37461FA.DATABASE.WINDOWS.NET,CentralRepository,dbo
ctsazsimicrsmas.inso1a101c37461fa.database.windows.net,EDS_BC_Common_Trans_PUB,CentralRepository_MyTravel_Details_MIG,dbo,CTSAZSIMIBCAPPS1.INSO1A101C37461FA.DATABASE.WINDOWS.NET,CentralRepository,dbo
ctsazsimicrsmas.inso1a101c37461fa.database.windows.net,EDS_BC_Common_Trans_PUB,CentralRepository_MyTravel_Details_MIG,dbo,CTSAZSIMIBCAPPS2.INSO1A101C37461FA.DATABASE.WINDOWS.NET,CentralRepository,dbo
