SourceServer,Publication,Article,SourceSchema,Subscriber,DestinationDatabase,DestinationSchema
ctsinazprdedssqlmi.inso1a101c37461fa.database.windows.net,EDS_PRD_DEAPPS1_SNAP_PUB,MAINSPRING_VW_EDS_Workpackage_STG_CURR,EDS_CURR_STG,CTSAZSIMIPDDEAPPS1.293366D454BB.DATABASE.WINDOWS.NET,Centralrepository,dbo
ctsinazprdedssqlmi.inso1a101c37461fa.database.windows.net,EDS_PRD_DEAPPS1_SNAP_PUB,MYCNTRCT_MCContractDetails_STG_CURR,EDS_CURR_STG,CTSAZSIMIPDDEAPPS1.293366D454BB.DATABASE.WINDOWS.NET,Centralrepository,dbo
ctsinazprdedssqlmi.inso1a101c37461fa.database.windows.net,EDS_PRD_DEAPPS1_SNAP_PUB,ESA_PS_CTS_IN_PCSOL_VW_STG_CURR,EDS_CURR_STG,CTSAZSIMIPDDEAPPS1.293366D454BB.DATABASE.WINDOWS.NET,Centralrepository,dbo
ctsinazprdedssqlmi.inso1a101c37461fa.database.windows.net,EDS_PRD_DEAPPS1_SNAP_PUB,Mainspring_VW_EDS_Projectallocation_STG_CURR,EDS_CURR_STG,CTSAZSIMIPDDEAPPS1.293366D454BB.DATABASE.WINDOWS.NET,Centralrepository,dbo
ctsinazprdedssqlmi.inso1a101c37461fa.database.windows.net,EDS_PRD_DEAPPS1_SNAP_PUB,Mainspring_VW_EDS_Archetypeprojectdemographics_STG_CURR,EDS_CURR_STG,CTSAZSIMIPDDEAPPS1.293366D454BB.DATABASE.WINDOWS.NET,Centralrepository,dbo
ctsinazprdedssqlmi.inso1a101c37461fa.database.windows.net,EDS_PRD_DEAPPS1_SNAP_PUB,SFDC_Opportunity_Team_STG_CURR,EDS_CURR_STG,CTSAZSIMIPDDEAPPS1.293366D454BB.DATABASE.WINDOWS.NET,Centralrepository,dbo
ctsinazprdedssqlmi.inso1a101c37461fa.database.windows.net,EDS_PRD_DEAPPS1_SNAP_PUB,CentralRepository_RHMS_RoleDetails_MIG_TEMP,CRS_BASE_TBL,CTSAZSIMIPDDEAPPS1.293366D454BB.DATABASE.WINDOWS.NET,Centralrepository,dbo
ctsinazprdedssqlmi.inso1a101c37461fa.database.windows.net,EDS_PRD_DEAPPS1_SNAP_PUB,CentralRepository_Horizontal_Manager_Mig,CRS_BASE_TBL,CTSAZSIMIPDDEAPPS1.293366D454BB.DATABASE.WINDOWS.NET,Centralrepository,dbo
ctsinazprdedssqlmi.inso1a101c37461fa.database.windows.net,EDS_PRD_DEAPPS1_SNAP_PUB,MAINSPRING_VW_EDS_Milestone_STG_CURR,EDS_CURR_STG,CTSAZSIMIPDDEAPPS1.293366D454BB.DATABASE.WINDOWS.NET,Centralrepository,dbo
ctsinazprdedssqlmi.inso1a101c37461fa.database.windows.net,EDS_PRD_DEAPPS1_SNAP_PUB,ESA_PS_CTS_IN_PCSBU_VW_STG_CURR,EDS_CURR_STG,CTSAZSIMIPDDEAPPS1.293366D454BB.DATABASE.WINDOWS.NET,Centralrepository,dbo
ctsinazprdedssqlmi.inso1a101c37461fa.database.windows.net,EDS_PRD_DEAPPS1_SNAP_PUB,MYCNTRCT_MCContractCustomerProject_STG_CURR,EDS_CURR_STG,CTSAZSIMIPDDEAPPS1.293366D454BB.DATABASE.WINDOWS.NET,Centralrepository,dbo
ctsinazprdedssqlmi.inso1a101c37461fa.database.windows.net,EDS_PRD_DEAPPS1_SNAP_PUB,IC_TICPROJECTGRID_STG_CURR,EDS_CURR_STG,CTSAZSIMIPDDEAPPS1.293366D454BB.DATABASE.WINDOWS.NET,Centralrepository,dbo
ctsinazprdedssqlmi.inso1a101c37461fa.database.windows.net,EDS_PRD_DEAPPS1_SNAP_PUB,MAINSPRING_VW_EDS_No_risk_declaration_STG_CURR,EDS_CURR_STG,CTSAZSIMIPDDEAPPS1.293366D454BB.DATABASE.WINDOWS.NET,Centralrepository,dbo
