measurement,data_size,index_size,total_size,live_rows,dead_rows,dead_pct,last_autovacuum,autovacuum_count
BASELINE,847 MB,107 MB,954 MB,5000014,0,0,2026-02-21 15:28:33.311593+05,1
,,,,,,,,
,,,,,,,,
,,,,,,,,
table_len,tuple_count,tuple_len,tuple_percent,dead_tuple_count,dead_tuple_len,dead_tuple_percent,free_space,free_percent
887914496,5000000,816922160,92,0,0,0,13391024,1.51
,,,,,,,,
,,,,,,,,
total_pages,fully_packed_pages,pages_with_free_space,pct_fully_packed,,,,,
108388,13637,94751,12.58,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,, ,,,,,,
