avail,pages,size_mb,page_health,pages,size_mb,pct_of_table,,,,
0,2165,16.91,1-FULL: Fully Packed (0 bytes free),2165,16.91,1,,,,
32,111,0.87,2-MINOR: Minor Gaps (1-1024 bytes),22909,178.98,10.57,,,,
64,545,4.26,3-MODERATE: Moderate Holes (1-2 KB free),15902,124.23,7.34,,,,
96,3929,30.7,4-HEAVY: Heavy Damage (2-4 KB free),44867,350.52,20.71,,,,
128,7950,62.11,5-SEVERE: Severely Empty (4-6 KB free),126712,989.94,58.48,,,,
160,1713,13.38,6-NEAR_EMPTY: Near Empty Pages (6-8 KB free),4134,32.3,1.91,,,,
192,8,0.06,,,,,,,,
224,5,0.04,total_pages,total_size_mb,fully_packed,minor_to_moderate,heavy_damage,more_than_half_empty,pct_fully_packed,pct_half_empty
256,72,0.56,216689,1692.88,2165,38811,44867,130846,1,60.38
288,205,1.6,,,,,,,,
320,189,1.48,,,,,,,,
352,56,0.44,,,,,,,,
384,6,0.05,,,,,,,,
416,70,0.55,,,,,,,,
448,403,3.15,,,,,,,,
480,502,3.92,,,,,,,,
512,189,1.48,,,,,,,,
544,9,0.07,,,,,,,,
576,59,0.46,,,,,,,,
608,474,3.7,,,,,,,,
640,947,7.4,,,,,,,,
672,468,3.66,,,,,,,,
704,30,0.23,,,,,,,,
736,25,0.2,,,,,,,,
768,346,2.7,,,,,,,,
800,1121,8.76,,,,,,,,
832,788,6.16,,,,,,,,
864,98,0.77,,,,,,,,
896,14,0.11,,,,,,,,
928,187,1.46,,,,,,,,
960,952,7.44,,,,,,,,
992,1179,9.21,,,,,,,,
1024,259,2.02,,,,,,,,
1056,5,0.04,,,,,,,,
1088,69,0.54,,,,,,,,
1120,645,5.04,,,,,,,,
1152,1344,10.5,,,,,,,,
1184,514,4.02,,,,,,,,
1216,24,0.19,,,,,,,,
1248,25,0.2,,,,,,,,
1280,361,2.82,,,,,,,,
1312,1255,9.8,,,,,,,,
1344,818,6.39,,,,,,,,
1376,83,0.65,,,,,,,,
1408,7,0.05,,,,,,,,
